TITOLO,NOME_FILE,ABSTRACT_E_NOTE,VISTA,TATTO,OLFATTO,UDITO,GUSTO,INTERATTIVITÀ_0_2,TIPO_DI_DATO,Dato_DINAMICO_o_STATICO,CASO_D_USO
Supporting the Design and Fabrication of Physical Visualizations,Supporting_the_Design_and_Fabrication_of_Physical_Visualizations,"hanno creato un tool (MakerVis) che aiuta lo sviluppo di plot di vario genere nella fase di design, e quindi presentano varie rappresentazioni fisiche di plot",1,1,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
TastyBeats: Designing Palatable Representations of Physical Activity,tastybeats_chi2015,"(palatable representations)(molto carino) è un sistema di fontane che mischia degli sport/energy drink in base ai dati dell’attività fisica dell’utente finale. Bevanda che poi l’utente stesso berrà a suo rischio e pericolo, per reintegrali liquidi e sali minerali",1,1,1,0,1,2,attività fisica,DINAMICO,uso quotidiano
Data Craft: Integrating Data into Daily Practices and Shared Reflections,Thudt_DataCraft_CHI2017,"(Datacrafting , carino) paper che mostra come si può fare il crafting di oggetti quotidiani partendo da un dato registrato e usando quel dato come oggetto di design ",1,1,0,0,0,0,dati di varia natura,STATICO,uso quotidiano
Challenges of Running Constructive Visualization Studies with Children,TokenWorkshopCamera,studiano come dei bambini(7-11anni) possano creare delle visualizzazioni tramite token di plastica.,1,1,0,0,0,0,dati di varia natura,STATICO,istruzione/intrattenimento
Understanding Physical Activity through 3D Printed Material Artifacts,understanding_3d_chi2014,"sistema che dopo un’attività fisica , permette di stampare in 3d vari tipi di fisicalizzazioni relativi ai dati riscontrati dall’attività svolta ",1,1,0,0,0,0,attività fisica,DINAMICO,uso quotidiano
Domestic Widgets: Leveraging Household Creativity in Co-Creating Data Physicalisations,Verweij_et_al-Domestic_Widgets_OA,"(molto figo) sono dei Phidget multiuso, e pure DIY (con componenti fornite e forme in cartone da modellare), che si interfacciano direttamente con Google Home (o mini) e si possono settare direttamente a voce e interagendo col fidget creato (sotto ha solo un wemos nano) ",1,1,0,1,0,2,dati di varia natura,DINAMICO,uso quotidiano
Design of a Tangible Data Visualization,Vinci_Design_of_a_Tangible_Data_Visualization,"prendono i profili di DNA, li stampano 3d in forma circolare e li trasformano in gioielli (anelli) indossabili e anche belli da vedere( molto soggettivo)",1,1,0,0,0,0,profilo DNA,STATICO,uso quotidiano
Investigating the Use of a Dynamic Physical Bar Chart for Data Exploration and Presentation,VIS16_PhysicalBarChart,"--> credo sia un  upgrade del EMERGE (file OA_2015_04_CHI_Emerge) , hanno aggiunto 4 pannelli touch screen, uno per lato, così (immagino) non ci sono problemi con la fotocamera superiore",,,,,,,,,
Visualizing Volume Data Using Physical Models,VisualizingVolumeDataUsingPhysicalModels,"(vecchiotto, è del 2000) fanno stampe 3d di specifici organi del copro umani ( o sezioni di essi) ",1,1,0,0,0,0,modelli 3d,STATICO,studi universitari/vario
A Constructive Classroom Exercise for Teaching InfoVis,Willett,"workshop con bambini per fargli fare plot con 3 tipi diversi di fisicalizzazioni ( anche se simili : tiles di plastica, lego e argilla colorata) ",1,1,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
Zooids: Building Blocks for Swarm User Interfaces,Zooids_Building_Blocks_for_Swarm_User_Interfaces,"(molto figo) tanti piccoli robottini che si muovono “a sciame (swarm)” , che sono tutti triangolati fra di loro tramite videocamera (presumo). Possono essere utilizzati per visualizzare un qualsiasi tipo di informazione rappresentabile tramite grafici, e anche come interfaccia fisica con cui interagire nel quotidiano.",1,1,0,0,0,2,dataset generici/vario,STATICO,istruzione/intrattenimento/uso quotidiano
